,Address,Txns_x,First Transacted_x,Last Transacted_x,Ⱥ In_x,Ⱥ Out_x,Ⱥ Net_x,Txns_y,First Transacted_y,Last Transacted_y,Ⱥ In_y,Ⱥ Out_y,Ⱥ Net_y,exists
448,XD37F5Z75UMFDTYAUTXV4TCHSSCJ7MIOK54HBS72ISILV333T7P7EF5MG4,1,"12/10/2022, 3:11:09 AM","12/10/2022, 3:11:09 AM",0.0,50209.488,-50209.488,1.0,"10/24/2022, 9:24:41 PM","10/24/2022, 9:24:41 PM",0.0,0.002,-0.002,both
449,DW4IBAJRX4WZ6ON32DNFM7JTWH4TWO3N5QLVYIEDKZQ57GJDA7USJB2SN4,1,"12/9/2022, 10:21:25 PM","12/9/2022, 10:21:25 PM",0.0,1976.0359,-1976.0359,1.0,"12/5/2022, 1:50:19 AM","12/5/2022, 1:50:19 AM",0.0,0.201,-0.201,both
450,ASVR5LB2H3G4Z7EL2W2YI2ULCIVPXHVLHVIDQ23LV233XX2VKHDW6TUKG4,1,"12/8/2022, 10:17:10 AM","12/8/2022, 10:17:10 AM",0.0,1399.900026,-1399.900026,1.0,"12/5/2022, 1:47:38 AM","12/5/2022, 1:47:38 AM",0.0,0.201,-0.201,both
451,6ADOMVLL2DYLJBL363UQ3LG7REQ6CM3E3UIRNA5DPYJU4ZDPHDFD56H63A,1,"12/8/2022, 6:24:09 AM","12/8/2022, 6:24:09 AM",0.0,3310.332,-3310.332,1.0,"12/5/2022, 1:45:23 AM","12/5/2022, 1:45:23 AM",0.0,0.201,-0.201,both
455,KPFYZCQ6ESKLORKXKYOGTTHQMRCIAPHQ2MOPQSBPROVSPCZ3BSTFKEXWXQ,6,"11/18/2021, 8:26:11 AM","12/7/2022, 1:24:10 AM",0.0,36648.040916,-36648.040916,1.0,"10/24/2022, 2:28:54 PM","10/24/2022, 2:28:54 PM",0.0,0.002,-0.002,both
457,5NJNIUBGE6BV63ZO6E7EB3TAVKSSMDBVY6BMSP5G6OUNP4C4VBK5XKFPOY,6,"12/20/2021, 7:04:09 PM","12/6/2022, 10:57:16 PM",0.0,83618.9093,-83618.9093,1.0,"10/22/2022, 4:22:49 PM","10/22/2022, 4:22:49 PM",0.0,0.002,-0.002,both
458,VCSL3CRHHDZ7WE3NOYO7WPM4PRBLMNBGGOICH7D4DDBOIXRMVI5GDUNQBA,19,"3/30/2022, 5:16:10 AM","12/6/2022, 10:47:13 PM",0.0,340000.98922600003,-340000.98922600003,1.0,"10/24/2022, 8:17:45 PM","10/24/2022, 8:17:45 PM",0.0,0.002,-0.002,both
459,7DOQTRCDALLWTW6NPTGYPAILSRJ5PBAXSG6BL6XY3NFFTQTDJ3ONL5MPDE,2,"12/6/2022, 1:34:12 AM","12/6/2022, 1:34:23 AM",0.0,79999.792,-79999.792,1.0,"12/5/2022, 1:46:19 AM","12/5/2022, 1:46:19 AM",0.0,0.201,-0.201,both
461,KDYULH7VWNRU4FTMJZFKUUDD4XDYF7QLKBGW766QTJN73K4GQYEQCS4X54,1,"12/5/2022, 11:40:24 PM","12/5/2022, 11:40:24 PM",0.0,202399.892,-202399.892,1.0,"10/24/2022, 2:17:46 PM","10/24/2022, 2:17:46 PM",0.0,0.001901,-0.001901,both
462,72SAMLDPH2Q5QQQ5LF6ROWMRMUXJVIWGQFFZY6XDIJPUMTZI26476MY5JE,1,"12/5/2022, 11:32:14 PM","12/5/2022, 11:32:14 PM",0.0,68199.876,-68199.876,1.0,"12/5/2022, 1:46:04 AM","12/5/2022, 1:46:04 AM",0.0,0.201,-0.201,both
